t,name,x,y,heading,v,rudder,throttle,alpha
93.0,lead,-56090.07493066609,44164.525636119666,2.604413927570639,796.9997075064955,0.0,0.0,-0.007014330519554586
93.0,wingman,-51604.547017144214,40396.79907861342,2.147789803496358,868.220630109757,-0.0017787367,-62.7625,0.01205146345723333
94.0,lead,-56774.821839572935,44572.36163809592,2.604413927645666,796.9997075064969,0.0,0.0,-0.007014330519475458
94.0,wingman,-52065.971218600294,41126.643230525115,2.129228089014811,858.3696496330782,0.12301268,6.8784256,-0.008520427425401302
95.0,lead,-57459.56874848242,44980.19764006772,2.604413928954334,796.9997075064915,0.0,0.0,-0.0070143305200227445
95.0,wingman,-52513.20824681304,41852.77092101697,2.1206493627157728,847.1800303164391,0.1481231,89.96565,-0.008476443560746564
96.0,lead,-58144.315657388135,45388.033642045855,2.6044139278203065,796.9997075064956,0.0,0.0,-0.007014330519594232
96.0,wingman,-52976.52297503552,42555.992217205014,2.192675776400756,837.8885216846564,0.174533,96.5,0.010275086938183322
97.0,lead,-58829.06256629585,45795.86964402065,2.6044139271883915,796.9997075064956,0.0,0.0,-0.007014330519567577
97.0,wingman,-53492.58790934279,43211.10919798072,2.3349905039611465,831.270086951022,0.174533,73.2841,0.036732847666040305
98.0,lead,-59513.80947520341,46203.70564599571,2.6044139274512395,796.9997075064962,0.0,0.0,-0.007014330519623123
98.0,wingman,-54093.17185358473,43781.08674543948,2.527234352757316,827.6667967044893,-0.15031137,92.62193,0.058257771991998414
99.0,lead,-60198.556384108444,46611.541647975,2.604413926035231,796.9997075064994,0.0,0.0,-0.007014330519036387
99.0,wingman,-54780.47953138815,44244.803170194034,2.579603026804957,833.6751744287155,0.15834351,-39.160206,-0.005377936069714983
100.0,lead,-60883.30329301745,47019.37764994761,2.604413927179518,796.9997075064965,0.0,0.0,-0.007014330519486171
100.0,wingman,-55507.970970337294,44672.862724647865,2.644808807772125,858.6131305693932,0.11760144,-41.819283,0.00753998275444187
101.0,lead,-61568.05020192404,47427.21365192427,2.604413928705709,796.9997075064948,0.0,0.0,-0.0070143305195972646
101.0,wingman,-56285.87456123011,45050.831821609085,2.775517114338424,867.9076351647957,0.12357123,84.732254,0.029793432541959933
102.0,lead,-62252.79711083302,47835.049653896946,2.6044139280667054,796.9997075064941,0.0,0.0,-0.007014330519765575
102.0,wingman,-57110.92627365005,45321.6147064387,2.9539399868876997,872.0120099500879,-0.1564854,11.248764,0.04821097743019813
103.0,lead,-62937.54401973938,48242.88565587399,2.604413926519012,796.9997075064974,0.0,0.0,-0.007014330519374654
103.0,wingman,-57973.99921482497,45490.4128655273,2.958288159100415,891.7504915760185,-0.174533,74.38931,-0.014010468891800723
104.0,lead,-63622.290928644106,48650.72165785379,2.6044139311058743,796.9997075064939,0.0,0.0,-0.007014330519638095
104.0,wingman,-58857.69714156594,45668.80118337812,2.9286925510771837,905.7863860237181,-0.17299509,54.456467,-0.0032727948339663264
105.0,lead,-64307.03783755335,49058.557659825994,2.6044139269816324,796.999707506498,0.0,0.0,-0.007014330519323633
105.0,wingman,-59733.071261870544,45896.5325430784,2.8260033922033156,902.3198150469892,-0.17110905,64.68413,0.017284729980307886
106.0,lead,-64991.78474646152,49466.3936618,2.6044139284303185,796.9997075064944,0.0,0.0,-0.007014330519675342
106.0,wingman,-60571.787473004086,46216.92121492105,2.667383660908364,895.4617619582747,-0.013804704,-40.838203,0.03826604174077943
107.0,lead,-65676.53165536902,49874.229663775135,2.6044139272631197,796.9997075064963,0.0,0.0,-0.0070143305195264705
107.0,wingman,-61343.52776093309,46661.90403440027,2.4848885316992555,887.3829189497504,-0.057450823,-1.6750107,0.047294391461213905
108.0,lead,-66361.27856427492,50282.06566575296,2.6044139271636855,796.999707506498,0.0,0.0,-0.007014330519279271
108.0,wingman,-62017.00212528389,47229.024169809934,2.30459933047302,875.5398353803238,0.174533,-55.625286,0.04933663479659606
109.0,lead,-67046.0254731844,50689.90166772478,2.604413928654287,796.9997075064932,0.0,0.0,-0.007014330519843426
109.0,wingman,-62602.867292281335,47871.3332494058,2.30106578414297,863.3642380024766,0.049728513,42.392776,-0.012583457719504285
110.0,lead,-67730.77238209307,51097.737669697955,2.6044139248919302,796.9997075064974,0.0,0.0,-0.0070143305195088336
110.0,wingman,-63184.7584956143,48501.11285020055,2.334611261128702,851.7731501218533,-0.10213708,9.514481,0.00031640443603333027
111.0,lead,-68415.51929099916,51505.57367167543,2.6044139280750715,796.9997075064939,0.0,0.0,-0.0070143305197753235
111.0,wingman,-63789.04757930553,49094.19371103911,2.376563783807908,842.1817971503464,0.048684254,70.435684,-0.006045231832406391
112.0,lead,-69100.26619990544,51913.40967365262,2.6044139264800443,796.9997075064978,0.0,0.0,-0.00701433051936421
112.0,wingman,-64406.03561118077,49661.688616489475,2.4037766804248273,834.9188771451786,-0.004768178,96.5,-0.005893554136735765
113.0,lead,-69785.01310881168,52321.24567562986,2.6044139287924626,796.9997075064954,0.0,0.0,-0.007014330519532838
113.0,wingman,-65032.46702268399,50210.62629049602,2.424314196777479,832.1318654480324,0.174533,-96.5,-0.008216702532609851
114.0,lead,-70469.7600177203,52729.0816776031,2.6044139276738294,796.9997075064955,0.0,0.0,-0.007014330519578947
114.0,wingman,-65668.22438772793,50746.045850989736,2.4563712618342635,829.1039762350657,0.070473164,96.5,-0.0005179109221923767
