t,x,y,heading,v,rudder,throttle
91.0,-50509.97090505244,39026.34459642578,2.318135055836668,888.4655334634939,0.033944875,2.2735825
92.0,-55405.32802175673,43756.68963414765,2.6044139264535064,796.9997075064999,0.0,0.0
92.0,-51088.412997711646,39693.519749897576,2.248345804948835,877.7252810973505,-0.040006727,47.98407
93.0,-56090.07493066609,44164.525636119666,2.604413927570639,796.9997075064955,0.0,0.0
93.0,-51604.547017144214,40396.79907861342,2.147789803496358,868.220630109757,-0.0017787367,-62.7625
94.0,-56774.821839572935,44572.36163809592,2.604413927645666,796.9997075064969,0.0,0.0
94.0,-52065.971218600294,41126.643230525115,2.129228089014811,858.3696496330782,0.12301268,6.8784256
95.0,-57459.56874848242,44980.19764006772,2.604413928954334,796.9997075064915,0.0,0.0
95.0,-52513.20824681304,41852.77092101697,2.1206493627157728,847.1800303164391,0.1481231,89.96565
96.0,-58144.315657388135,45388.033642045855,2.6044139278203065,796.9997075064956,0.0,0.0
96.0,-52976.52297503552,42555.992217205014,2.192675776400756,837.8885216846564,0.174533,96.5
97.0,-58829.06256629585,45795.86964402065,2.6044139271883915,796.9997075064956,0.0,0.0
97.0,-53492.58790934279,43211.10919798072,2.3349905039611465,831.270086951022,0.174533,73.2841
98.0,-59513.80947520341,46203.70564599571,2.6044139274512395,796.9997075064962,0.0,0.0
98.0,-54093.17185358473,43781.08674543948,2.527234352757316,827.6667967044893,-0.15031137,92.62193
99.0,-60198.556384108444,46611.541647975,2.604413926035231,796.9997075064994,0.0,0.0
99.0,-54780.47953138815,44244.803170194034,2.579603026804957,833.6751744287155,0.15834351,-39.160206
100.0,-60883.30329301745,47019.37764994761,2.604413927179518,796.9997075064965,0.0,0.0
100.0,-55507.970970337294,44672.862724647865,2.644808807772125,858.6131305693932,0.11760144,-41.819283
101.0,-61568.05020192404,47427.21365192427,2.604413928705709,796.9997075064948,0.0,0.0
101.0,-56285.87456123011,45050.831821609085,2.775517114338424,867.9076351647957,0.12357123,84.732254
102.0,-62252.79711083302,47835.049653896946,2.6044139280667054,796.9997075064941,0.0,0.0
102.0,-57110.92627365005,45321.6147064387,2.9539399868876997,872.0120099500879,-0.1564854,11.248764
103.0,-62937.54401973938,48242.88565587399,2.604413926519012,796.9997075064974,0.0,0.0
103.0,-57973.99921482497,45490.4128655273,2.958288159100415,891.7504915760185,-0.174533,74.38931
104.0,-63622.290928644106,48650.72165785379,2.6044139311058743,796.9997075064939,0.0,0.0
104.0,-58857.69714156594,45668.80118337812,2.9286925510771837,905.7863860237181,-0.17299509,54.456467
105.0,-64307.03783755335,49058.557659825994,2.6044139269816324,796.999707506498,0.0,0.0
105.0,-59733.071261870544,45896.5325430784,2.8260033922033156,902.3198150469892,-0.17110905,64.68413
106.0,-64991.78474646152,49466.3936618,2.6044139284303185,796.9997075064944,0.0,0.0
106.0,-60571.787473004086,46216.92121492105,2.667383660908364,895.4617619582747,-0.013804704,-40.838203
107.0,-65676.53165536902,49874.229663775135,2.6044139272631197,796.9997075064963,0.0,0.0
107.0,-61343.52776093309,46661.90403440027,2.4848885316992555,887.3829189497504,-0.057450823,-1.6750107
108.0,-66361.27856427492,50282.06566575296,2.6044139271636855,796.999707506498,0.0,0.0
108.0,-62017.00212528389,47229.024169809934,2.30459933047302,875.5398353803238,0.174533,-55.625286
109.0,-67046.0254731844,50689.90166772478,2.604413928654287,796.9997075064932,0.0,0.0
109.0,-62602.867292281335,47871.3332494058,2.30106578414297,863.3642380024766,0.049728513,42.392776
110.0,-67730.77238209307,51097.737669697955,2.6044139248919302,796.9997075064974,0.0,0.0
110.0,-63184.7584956143,48501.11285020055,2.334611261128702,851.7731501218533,-0.10213708,9.514481
111.0,-68415.51929099916,51505.57367167543,2.6044139280750715,796.9997075064939,0.0,0.0
111.0,-63789.04757930553,49094.19371103911,2.376563783807908,842.1817971503464,0.048684254,70.435684
112.0,-69100.26619990544,51913.40967365262,2.6044139264800443,796.9997075064978,0.0,0.0
112.0,-64406.03561118077,49661.688616489475,2.4037766804248273,834.9188771451786,-0.004768178,96.5
113.0,-69785.01310881168,52321.24567562986,2.6044139287924626,796.9997075064954,0.0,0.0
113.0,-65032.46702268399,50210.62629049602,2.424314196777479,832.1318654480324,0.174533,-96.5
114.0,-70469.7600177203,52729.0816776031,2.6044139276738294,796.9997075064955,0.0,0.0
114.0,-65668.22438772793,50746.045850989736,2.4563712618342635,829.1039762350657,0.070473164,96.5
115.0,-71154.50692662624,53136.91767958088,2.604413927100599,796.999707506498,0.0,0.0
115.0,-66328.5036229083,51243.38466195087,2.562571251705536,825.580628689909,-0.10533798,59.854248
116.0,-71839.25383553568,53544.75368155274,2.6044139285561956,796.9997075064938,0.0,0.0
116.0,-67028.5720965394,51683.5962272578,2.5876624540415696,830.069183005484,0.0453832,26.119492
117.0,-72524.0007444442,53952.58968352616,2.6044139248895766,796.9997075064973,0.0,0.0
117.0,-67744.6395742391,52116.688246559235,2.5990284430261186,848.1433727734671,0.113801345,51.322678
118.0,-73208.74765335053,54360.42568550328,2.6044139280077636,796.9997075064942,0.0,0.0
118.0,-68489.1362637127,52554.34463043757,2.618805363544981,879.3263564211801,-0.174533,37.347366
119.0,-73893.49456225682,54768.26168748046,2.6044139263647157,796.9997075064979,0.0,0.0
119.0,-69271.30285728113,52987.12319058869,2.6441107755781212,903.8435910493187,-0.08343283,33.68167
120.0,-74578.24147116323,55176.09768945744,2.6044139286130052,796.9997075064954,0.0,0.0
120.0,-70055.82590756188,53438.26445614114,2.5982805711197927,904.1801270268322,0.174533,-0.34251404
121.0,-75262.98838007201,55583.933691430415,2.6044139278777436,796.9997075064949,0.0,0.0
121.0,-70816.98489635788,53919.69914339638,2.5714154114741694,896.616187928814,0.09135674,58.49083
122.0,-75947.73528897825,55991.76969340764,2.6044139259625574,796.9997075064987,0.0,0.0
122.0,-71576.23855333407,54393.14923607603,2.595739901076324,894.7725499980044,0.03174424,16.092575
123.0,-76632.4821978838,56399.60569538602,2.6044139307209413,796.9997075064942,0.0,0.0
123.0,-72361.74597076314,54827.771937915175,2.693732158025359,900.9450094943944,-0.174533,16.065857
124.0,-77317.22910679292,56807.441697358394,2.60441392713233,796.9997075064974,0.0,0.0
124.0,-73178.029004138,55206.71428033577,2.716697432718021,897.8248932822692,0.174533,61.96164
125.0,-78001.97601570103,57215.2776993325,2.6044139285402155,796.9997075064944,0.0,0.0
125.0,-73993.15483197679,55583.15577940831,2.7071387119571093,898.9298397246547,0.10718463,-41.42511
126.0,-78686.72292460964,57623.113701305774,2.604413926208964,796.999707506496,0.0,0.0
126.0,-74813.70242106848,55948.397805554196,2.7367415093635343,895.9501998964168,-0.029948816,-96.5
127.0,-79371.46983351556,58030.94970328354,2.6044139275185305,796.999707506496,0.0,0.0
127.0,-75646.84014474489,56266.23338397686,2.8194420066829675,887.3930492491166,-0.037771493,55.82396
128.0,-80056.21674242323,58438.78570525837,2.6044139279107448,796.9997075064947,0.0,0.0
128.0,-76487.19603879198,56533.63005039167,2.8376165641351374,876.0208427109225,-0.046132535,94.77269
129.0,-80740.96365132951,58846.62170723555,2.604413926084116,796.999707506499,0.0,0.0
129.0,-77316.66104312858,56797.79507486652,2.8283000749542264,865.6061108434412,0.04001206,-94.55358
130.0,-81425.71056023518,59254.45770921378,2.6044139307463583,796.9997075064939,0.0,0.0
130.0,-78127.82628305387,57086.12911290958,2.7936607564066946,855.8871037175331,-0.058378384,-33.568604
131.0,-82110.45746914428,59662.293711186205,2.604413927142285,796.9997075064977,0.0,0.0
131.0,-78921.1531033794,57392.4019126806,2.766889338315556,844.9375366081348,-0.026088148,-11.107254
132.0,-82795.20437805238,60070.129713160335,2.604413928596161,796.9997075064944,0.0,0.0
132.0,-79694.66376575218,57718.47994412961,2.7320860395403446,834.0523167022403,-0.10446285,-31.97808
133.0,-83479.95128696086,60477.96571513381,2.6044139263571173,796.9997075064958,0.0,0.0
133.0,-80445.11421371973,58069.80258648469,2.668848249312168,823.4903101322785,0.174533,96.5
134.0,-84164.69819586688,60885.80171711144,2.604413927513474,796.9997075064962,0.0,0.0
134.0,-81168.38111668809,58453.6650991225,2.6462671606864285,814.4094308610564,0.11463584,89.901
135.0,-84849.44510477588,61293.637719084065,2.604413928676414,796.999707506492,0.0,0.0
135.0,-81889.50095251501,58824.61058069413,2.6912467152997293,808.1292099112577,-0.024476796,74.79718
136.0,-85534.1920136817,61701.473721062044,2.6044139274516045,796.9997075064961,0.0,0.0
136.0,-82629.79355209565,59144.51454107858,2.8162577847983004,806.5727456504135,-0.174533,88.36597
137.0,-86218.93892258884,62109.30972303777,2.604413928419736,796.9997075064949,0.0,0.0
137.0,-83397.90698987918,59399.31025026497,2.8288647231508834,813.4241473300028,0.13891198,71.74516
138.0,-86903.68583149639,62517.14572501283,2.6044139273731988,796.999707506496,0.0,0.0
